country,Region,Telephone Code,Population(million),Area in KM2,GDP 2021,GDP 2022,GDP 2023,Cumulative GDP, Agriculture,Renewable Energy, Real Estate, Telecommunications, Financial Services, Infrastructure, Manufacturing, Mining and Natural Resources, Tourism and Hospitality, Information Technology and Startups, Healthcare and Pharmaceuticals, Education and Training, Transportation and Logistics, Water and Sanitation, Retail and Consumer Goods, Agribusiness and Agro-processing, Banking and Microfinance, Oil and Gas, Fisheries and Aquaculture, Media and Entertainment, Food and Beverage Processing, Construction and Building Materials, Automotive Industry, Fashion and Textile Industry, Biotechnology, Aviation, Shipping and Maritime Services, Insurance, Sports and Recreation Facilities
Comoros,Eastern Africa,+269,0.84M,2236,$1.3B,$1.2B,$1.3B,$3.9B,$1.5B,$0.2B,$0.4B,$0.1B,$0.2B,$0.2B,$0.3B,$0.2B,$0.4B,$0.1B,$0.3B,$0.2B,$0.5B,$0.0B,$0.7B,$1.2B,$0.6B,$0.0B,$0.2B,$0.1B,$0.3B,$0.5B,$1.4B,$1.4B,$0.0B,$0.2B,$0.5B,$0.1B,$0.1B
Democratic Republic of the Congo,Middle Africa,+243,99.01M,2344858,$55.3B,$64.7B,$69.8B,$189.8B,$47.5B,$2.0B,$13.3B,$5.7B,$11.0B,$18.0B,$22.0B,$40.0B,$5.7B,$6.6B,$7.6B,$10.0B,$19.0B,$1.8B,$28.5B,$43.0B,$16.0B,$4.7B,$4.5B,$5.7B,$15.0B,$13.3B,$1.0B,$2.8B,$1.3B,$5.3B,$18.0B,$5.0B,$3.8B
Republic of  Congo,Middle Africa,+242,5.97M,342000,$12.7B,$13.9B,$15.8B,$42.4B,$2.1B,$0.2B,$0.9B,$1.3B,$2.0B,$4.2B,$2.5B,$21.2B,$1.1B,$1.7B,$3.0B,$3.4B,$2.3B,$0.6B,$3.2B,$6.4B,$3.8B,$24.5B,$1.2B,$1.0B,$2.3B,$3.2B,$1.1B,$0.8B,$0.9B,$0.7B,$2.4B,$1.0B,$1.3B
Djibouti,Eastern Africa,+253,1.00M,23200,$3.0B,$3.3B,$3.5B,$9.7B,$0.3B,$0.2B,$0.8B,$0.3B,$0.5B,$1.0B,$0.4B,$0.0B,$0.3B,$0.3B,$0.4B,$0.5B,$0.9B,$0.2B,$0.6B,$0.2B,$0.6B,$0.1B,$0.2B,$0.1B,$0.2B,$0.6B,$0.2B,$0.1B,$0.1B,$0.3B,$0.6B,$0.2B,$0.2B
Egypt,Northern Africa,+20,104.00M,1010408,$394.3B,$416.2B,$430.0B,$1240.5B,$136.5B,$18.6B,$99.3B,$37.2B,$43.3B,$80.7B,$186.2B,$12.4B,$142.7B,$39.7B,$62.1B,$55.8B,$74.5B,$14.9B,$111.7B,$42.2B,$49.6B,$24.8B,$22.3B,$17.8B,$37.0B,$54.0B,$36.0B,$40.0B,$16.1B,$21.0B,$22.0B,$24.8B,$23.0B
Equatorial Guinea,Middle Africa,+240,1.50M,28051,$14.3B,$15.2B,$16.5B,$46.0B,$0.5B,$0.1B,$2.3B,$0.6B,$0.9B,$1.4B,$0.1B,$18.4B,$0.2B,$0.2B,$0.7B,$0.8B,$1.2B,$0.1B,$0.8B,$0.0B,$0.5B,$32.2B,$0.0B,$0.0B,$0.2B,$0.8B,$0.0B,$0.1B,$0.0B,$0.1B,$0.1B,$0.1B,$0.7B
Eritrea,Eastern Africa,+291,3.50M,117600,$2.7B,$2.8B,$3.0B,$8.5B,$0.0B,$0.0B,$0.4B,$0.1B,$0.2B,$0.3B,$0.0B,$5.1B,$0.0B,$0.1B,$0.1B,$0.1B,$0.2B,$0.1B,$0.1B,$0.7B,$0.1B,$6.0B,$0.1B,$0.1B,$0.1B,$0.1B,$0.1B,$0.1B,$0.0B,$0.0B,$0.0B,$0.0B,$0.0B
Eswatini (formerly Swaziland),Southern Africa,+268,1.20M,17364,$4.6B,$4.8B,$5.2B,$14.6B,$0.0B,$0.0B,$0.8B,$0.2B,$0.4B,$0.5B,$0.1B,$10.5B,$0.1B,$0.1B,$0.2B,$0.2B,$0.4B,$0.1B,$0.2B,$0.1B,$0.2B,$10.5B,$0.1B,$0.1B,$0.1B,$0.2B,$0.0B,$0.5B,$0.1B,$0.1B,$0.1B,$0.1B,$0.1B
Ethiopia,Eastern Africa,+251,118.00M,112000,$109.5B,$116.7B,$124.3B,$350.5B,$120.7B,$7.0B,$35.1B,$17.5B,$35.0B,$14.0B,$17.5B,$3.5B,$14.0B,$7.0B,$10.5B,$10.0B,$14.0B,$3.5B,$21.0B,$16.9B,$21.0B,$3.5B,$3.3B,$3.2B,$10.5B,$14.0B,$3.0B,$7.0B,$3.4B,$2.9B,$3.0B,$2.9B,$2.7B
Gabon,Middle Africa,+241,2.23M,267668,$15.4B,$15.9B,$16.5B,$47.8B,$1.9B,$0.5B,$2.9B,$1.9B,$4.3B,$2.7B,$4.2B,$10.9B,$1.4B,$1.9B,$1.9B,$1.4B,$3.0B,$0.5B,$2.6B,$3.3B,$4.3B,$20.6B,$0.5B,$0.5B,$1.4B,$1.9B,$0.5B,$0.5B,$0.5B,$0.5B,$0.5B,$0.5B,$0.3B
Gambia,Western Africa,+220,2.42M,10689,$1.7B,$1.8B,$1.9B,$5.5B,$1.5B,$0.0B,$0.3B,$0.2B,$0.6B,$0.3B,$0.3B,$0.7B,$0.6B,$0.1B,$0.2B,$0.2B,$0.4B,$0.1B,$0.3B,$0.4B,$0.3B,$0.0B,$0.2B,$0.1B,$0.1B,$0.2B,$0.0B,$0.1B,$0.0B,$0.1B,$0.1B,$0.1B,$0.0B
Ghana,Western Africa,+233,31.00M,238533,$68.3B,$75.2B,$81.5B,$225.0B,$45.0B,$2.3B,$18.0B,$11.3B,$22.5B,$13.5B,$22.5B,$33.8B,$11.3B,$6.8B,$6.8B,$4.4B,$6.9B,$2.3B,$9.0B,$11.3B,$2.2B,$2.0B,$4.5B,$9.1B,$2.3B,$2.4B,$1.9B,$2.3B,$2.3B,$2.2B,$2.3B,$2.1B,$2.0B
Guinea,Western Africa,+224,13.13M,245857,$12.9B,$14.3B,$15.7B,$42.9B,$8.5B,$0.2B,$2.1B,$2.0B,$4.3B,$2.1B,$3.4B,$12.9B,$0.9B,$0.8B,$0.8B,$0.9B,$0.9B,$1.3B,$0.4B,$2.2B,$8.6B,$2.1B,$0.4B,$0.4B,$1.3B,$1.3B,$0.2B,$0.2B,$0.3B,$0.3B,$0.2B,$0.2B,$0.2B
Guinea-Bissau,Western Africa,+245,2.02M,36125,$1.5B,$1.6B,$1.7B,$4.9B,$2.9B,$0.0B,$0.0B,$0.1B,$0.2B,$0.1B,$0.1B,$0.2B,$0.1B,$0.0B,$0.1B,$3.0B,$0.2B,$0.0B,$0.0B,$0.1B,$0.0B,$0.0B,$0.0B,$0.0B,$0.0B,$0.0B,$0.0B,$0.0B,$0.0B,$0.5B,$0.0B,$0.1B,$0.0B
Ivory Coast (Côte d'Ivoire),Western Africa,+225,27.30M,322463,$61.8B,$66.2B,$71.1B,$199.1B,$39.8B,$1.9B,$19.9B,$10.0B,$19.0B,$10.0B,$18.0B,$9.6B,$9.5B,$9.7B,$6.8B,$1.7B,$1.5B,$1.8B,$4.0B,$1.5B,$9.6B,$38.0B,$9.7B,$2.0B,$1.8B,$1.9B,$1.7B,$0.5B,$1.2B,$1.5B,$1.3B,$0.9B,$1.8B
Kenya,Eastern Africa,+254,55.00M,580367,$95.5B,$101.2B,$107.6B,$304.3B,$103.4B,$6.1B,$30.4B,$15.2B,$30.4B,$24.3B,$3.0B,$23.0B,$9.1B,$15.2B,$12.2B,$18.3B,$3.0B,$15.2B,$15.0B,$18.3B,$3.0B,$3.0B,$3.0B,$3.1B,$2.9B,$9.1B,$3.0B,$6.0B,$3.0B,$2.1B,$3.3B,$3.0B,$3.2B
Lesotho,Southern Africa,+266,2.20M,30355,$2.7B,$2.7B,$2.3B,$7.7B,$0.5B,$0.0B,$0.4B,$0.2B,$0.4B,$0.2B,$1.2B,$0.7B,$0.2B,$0.1B,$0.2B,$0.3B,$0.2B,$0.1B,$0.3B,$0.2B,$0.3B,$0.0B,$0.0B,$0.1B,$0.2B,$0.3B,$0.0B,$0.0B,$0.0B,$0.0B,$0.0B,$0.1B,$0.0B
Liberia,Western Africa,+231,5.20M,111369,$3.4B,$3.5B,$3.7B,$10.6B,$3.8B,$0.0B,$0.3B,$0.3B,$0.2B,$0.2B,$0.5B,$1.3B,$0.1B,$0.2B,$0.2B,$0.3B,$0.3B,$0.1B,$0.4B,$0.3B,$0.2B,$0.1B,$0.2B,$0.5B,$0.2B,$0.3B,$0.0B,$0.0B,$0.0B,$0.0B,$0.0B,$0.1B,$0.1B
Libya,Northern Africa,+218,6.80M,1759541,$43.0B,$49.1B,$52.8B,$144.9B,$2.5B,$0.1B,$6.3B,$3.1B,$3.7B,$5.0B,$8.8B,$1.3B,$0.6B,$1.3B,$3.8B,$2.5B,$1.3B,$6.3B,$2.5B,$3.8B,$2.5B,$75.4B,$0.6B,$0.6B,$2.5B,$3.7B,$0.6B,$0.1B,$0.1B,$0.6B,$1.2B,$1.3B,$0.1B
Madagascar,Eastern Africa,+261,27.70M,587041,$13.6B,$14.3B,$15.1B,$42.9B,$11.6B,$0.2B,$3.0B,$2.6B,$2.9B,$2.4B,$2.5B,$3.4B,$2.6B,$1.7B,$1.6B,$1.8B,$1.7B,$0.9B,$2.5B,$5.1B,$1.7B,$0.8B,$2.5B,$5.1B,$1.7B,$0.8B,$0.9B,$0.7B,$1.7B,$2.6B,$0.9B,$0.8B,$0.6B
Malawi,Eastern Africa,+265,21.30M,118484,$7.8B,$8.2B,$8.7B,$24.8B,$6.9B,$0.0B,$1.0B,$0.5B,$0.7B,$0.6B,$2.2B,$0.2B,$0.3B,$0.1B,$0.6B,$0.7B,$0.5B,$1.2B,$0.7B,$0.6B,$0.1B,$0.2B,$0.1B,$0.7B,$0.6B,$0.0B,$0.0B,$0.0B,$0.0B,$0.0B,$0.2B,$0.3B,$0.2B
Mali,Western Africa,+223,22.40M,1240192,$19.4B,$24.7B,$22.1B,$66.2B,$25.1B,$0.2B,$3.0B,$2.0B,$2.3B,$1.7B,$4.6B,$6.6B,$1.0B,$0.7B,$1.3B,$2.0B,$1.3B,$0.7B,$3.3B,$2.6B,$2.3B,$0.3B,$0.3B,$1.7B,$2.0B,$0.1B,$0.1B,$0.1B,$0.1B,$2.0B,$0.7B,$0.6B,$0.1B
Mauritania,Western Africa,+222,4.70M,1030700,$6.7B,$7.2B,$7.8B,$21.7B,$4.8B,$0.1B,$1.6B,$0.9B,$1.6B,$1.4B,$4.8B,$0.6B,$0.3B,$0.6B,$0.9B,$1.4B,$0.3B,$1.4B,$1.6B,$0.8B,$1.6B,$0.3B,$0.3B,$0.6B,$0.6B,$0.3B,$0.4B,$0.1B,$0.3B,$0.3B,$0.3B,$0.3B,$0.1B
Mauritius,Eastern Africa,+230,1.27M,2040,$14.1B,$15.3B,$16.4B,$45.8B,$2.3B,$0.2B,$5.7B,$2.7B,$5.7B,$2.7B,$5.0B,$1.1B,$10.3B,$1.8B,$1.8B,$0.7B,$2.7B,$0.7B,$0.7B,$2.3B,$0.5B,$0.9B,$0.7B,$1.4B,$0.6B,$0.2B,$0.6B,$0.7B,$0.6B,$0.1B,$0.5B,$0.7B,$0.5B
Morocco,Northern Africa,+212,38.70M,446550,$131.4B,$138.2B,$145.1B,$414.7B,$49.8B,$4.2B,$33.2B,$20.7B,$41.4B,$16.6B,$58.1B,$41.5B,$33.1B,$12.4B,$16.6B,$16.6B,$24.9B,$8.3B,$49.8B,$12.4B,$29.0B,$8.3B,$4.1B,$8.2B,$12.4B,$29.0B,$8.3B,$4.1B,$8.2B,$12.4B,$4.1B,$4.1B,$8.3B
Mozambique,Eastern Africa,+258,34.70M,801590,$15.2B,$16.5B,$17.3B,$49.0B,$12.4B,$1.0B,$3.5B,$2.0B,$5.0B,$2.5B,$4.0B,$2.5B,$1.5B,$0.5B,$1.5B,$2.5B,$2.0B,$0.5B,$3.0B,$1.0B,$2.5B,$0.5B,$0.5B,$0.5B,$0.5B,$1.0B,$1.0B,$0.5B,$0.5B,$0.5B,$0.5B,$0.5B,$0.5B
Namibia,Southern Africa,+264,2.50M,825615,$14.1B,$15.3B,$16.6B,$46.0B,$2.3B,$0.5B,$3.7B,$1.8B,$4.6B,$2.3B,$5.1B,$4.6B,$1.4B,$0.5B,$1.4B,$2.8B,$1.4B,$0.5B,$2.8B,$0.9B, $0.5B,$0.9B,$0.5B,$0.4B,$0.9B,$0.9B,$0.5B,$0.5B,$0.5B,$0.5B,$0.5B,$0.5B,$0.5B
Niger,Western Africa,+227,25.00M,1270000,$8.5B,$9.1B,$9.9B,$27.4B,$11.0B,$0.3B,$1.4B,$0.8B,$1.9B,$2.2B,$0.8B,$4.1B,$0.6B,$0.3B,$0.6B,$1.4B,$1.1B,$0.3B,$0.8B,$1.7B,$1.1B,$0.3B,$0.3B,$0.3B,$0.6B,$0.8B,$0.3B,$0.3B,$0.3B,$0.3B,$0.3B,$0.2B,$0.3B
Nigeria,Western Africa,+234,211.00M,923768,$514.0B,$546.0B,$580.0B,$1640.0B,$359.6B,$16.4B,$131.2B,$164.0B,$196.8B,$147.6B,$147.0B,$164.0B,$32.8B,$49.2B,$49.1B,$65.6B,$65.5B,$16.4B,$114.8B,$65.6B,$60.0B,$131.2B,$16.4B,$16.4B,$32.8B,$49.2B,$16.4B,$32.8B,$16.4B,$16.4B,$16.2B,$32.0B,$15.9B
Rwanda,Eastern Africa,+250,13.20M,26338,$11.1B,$12.3B,$13.6B,$37.0B,$9.7B,$0.3B,$2.8B,$1.4B,$2.2B,$1.7B,$2.8B,$0.7B,$1.3B,$0.6B,$1.0B,$1.2B,$1.5B,$0.4B,$1.8B,$0.7B,$1.1B,$0.2B,$0.1B,$0.2B,$0.7B,$1.3B,$0.7B,$0.1B,$0.1B,$0.1B,$0.3B,$0.1B,$0.1B
São Tomé and Príncipe,Middle Africa,+239,0.23M,964,$0.5B,$0.5B,$0.5B,$1.5B,$0.2B,$0.0B,$0.1B,$0.0B,$0.0B,$0.1B,$0.1B,$0.0B,$0.2B,$0.0B,$0.0B,$0.1B,$0.1B,$0.0B,$0.1B,$0.8B,$0.3B,$0.0B,$0.1B,$0.0B,$0.1B,$0.1B,$0.0B,$0.0B,$0.0B,$0.0B,$0.0B,$0.0B,$0.0B
Senegal,Western Africa,+221,17.20M,196722,$24.7B,$26.1B,$27.8B,$78.6B,$12.6B,$0.4B,$5.5B,$4.7B,$7.9B,$4.7B,$4.7B,$2.4B,$4.7B,$3.1B,$3.1B,$2.3B,$3.1B,$1.6B,$4.8B,$5.5B,$4.7B,$1.6B,$2.4B,$3.1B,$0.8B,$2.4B,$0.4B,$0.4B,$1.8B,$1.5B,$0.4B,$0.2B,$0.3B
Seychelles,Eastern Africa,+248,0.10M,459,$1.6B,$1.7B,$1.8B,$5.1B,$0.1B,$0.0B,$0.4B,$0.3B,$0.9B,$0.2B,$0.3B,$0.1B,$1.4B,$0.2B,$0.2B,$0.2B,$0.2B,$0.1B,$0.3B,$0.1B,$0.3B,$0.0B,$0.1B,$0.1B,$0.1B,$0.2B,$0.0B,$0.1B,$0.0B,$0.0B,$0.1B,$0.1B,$0.1B
Sierra Leone,Western Africa,+232,8.10M,71740,$4.1B,$4.3B,$4.5B,$12.9B,$8.4B,$0.2B,$1.0B,$0.5B,$0.8B,$0.5B,$0.5B,$1.6B,$0.2B,$0.2B,$0.2B,$0.4B,$0.4B,$0.2B,$0.5B,$0.2B,$0.4B,$0.0B,$0.3B,$0.2B,$0.0B,$0.2B,$0.0B,$0.2B,$0.1B,$0.3B,$0.2B,$0.1B,$0.2B
Somalia,Eastern Africa,+252,17.00M,637657,$5.3B,$5.7B,$6.0B,$17.0B,$10.2B,$0.2B,$0.5B,$1.0B,$0.5B,$0.3B,$0.9B,$0.2B,$0.3B,$0.3B,$0.5B,$0.3B,$0.2B,$0.7B,$0.8B,$0.3B,$0.2B,$0.5B,$0.2B,$0.5B,$0.3B,$0.3B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B
South Africa,Southern Africa,+27,60.60M,1221037,$419.0B,$422.1B,$453.3B,$1294.5B,$29.4B,$15.3B,$86.8B,$19.2B,$153.8B,$102.1B,$44.7B,$40.9B,$31.9B,$24.3B,$57.4B,$10.2B,$159.6B,$44.7B,$38.3B,$12.8B,$7.7B,$19.2B,$76.6B,$44.0B,$89.3B,$10.0B,$6.4B,$12.0B,$6.3B,$5.0B,$38.3B,$38.0B,$6.4B
South Sudan,Eastern Africa,+211,11.20M,619745,$6.5B,$7.9B,$7.6B,$21.9B,$8.6B,$0.2B,$1.1B,$0.6B,$0.4B,$1.5B,$0.2B,$4.3B,$0.2B,$0.2B,$0.4B,$0.6B,$0.8B,$0.4B,$0.2B,$0.1B,$0.4B,$1.1B,$0.2B,$0.2B,$0.2B,$0.6B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B
Sudan,Northern Africa,+249,45.00M,1886068,$41.4B,$43.1B,$45.1B,$129.6B,$45.4B,$1.3B,$6.5B,$3.9B,$2.6B,$18.1B,$2.6B,$13.0B,$1.3B,$1.3B,$3.9B,$6.5B,$5.2B,$2.6B,$3.9B,$6.5B,$2.6B,$10.4B,$1.3B,$1.3B,$2.6B,$5.2B,$1.3B,$1.3B,$1.1B,$1.3B,$1.3B,$1.3B,$1.3B
Tanzania,Eastern Africa,+255,61.50M,945087,$65.5B,$70.2B,$75.1B,$210.8B,$5.5B,$0.2B,$1.7B,$1.1B,$2.2B,$1.5B,$1.7B,$0.9B,$2.2B,$0.4B,$0.7B,$1.1B,$0.9B,$0.4B,$1.1B,$0.2B,$0.2B,$0.2B,$0.2B,$0.4B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B
Togo,Western Africa,+228,8.00M,56785,$5.6B,$6.2B,$6.8B,$18.6B,$7.4B,$0.2B,$0.9B,$0.6B,$0.9B,$1.0B,$0.9B,$0.6B,$0.9B,$0.2B,$0.6B,$0.9B,$0.6B,$0.4B,$0.9B,$0.6B,$0.6B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B,$0.2B,$0.1B,$0.1B,$0.2B
Tunisia,Northern Africa,+216,12.20M,163610,$40.7B,$42.2B,$43.8B,$126.7B,$12.7B,$1.3B,$12.6B,$6.3B,$12.7B,$6.3B,$12.7B,$6.0B,$19.0B,$2.5B,$8.9B,$3.8B,$6.3B,$6.0B,$5.1B,$2.5B,$10.1B,$3.8B,$6.3B,$1.3B,$1.3B,$1.3B,$2.5B,$3.8B,$2.5B,$2.5B,$1.3B,$1.3B,$1.3B
Uganda,Eastern Africa,+256,48.58M,241038,$40.5B,$42.2B,$44.3B,$127.0B,$30.5B,$1.3B,$6.3B,$3.8B,$6.4B,$5.1B,$10.2B,$2.5B,$3.8B,$2.5B,$3.8B,$2.5B,$3.9B,$5.0B,$12.0B,$1.3B,$12.7B,$3.8B,$5.1B,$1.3B,$1.2B,$1.2B,$2.5B,$2.8B,$1.3B,$1.3B,$1.3B,$1.2B,$1.3B
Zambia,Eastern Africa,+260,20.21M,752612,$21.2B,$22.5B,$24.0B,$67.7B,$6.5B,$0.3B,$2.3B,$2.8B,$4.1B,$2.6B,$5.3B,$8.7B,$1.3B,$1.7B,$2.1B,$3.7B,$2.8B,$0.9B,$6.0B,$3.1B,$2.0B,$0.5B,$0.7B,$0.6B,$2.5B,$2.7B,$0.4B,$0.8B,$0.3B,$0.2B,$0.2B,$0.2B,$0.1B
Zimbabwe,Eastern Africa,+263,15.57M,890757,$20.7B,$21.9B,$23.2B,$65.7B,$6.8B,$0.3B,$5.7B,$2.7B,$7.4B,$6.3B,$7.6B,$12.4B,$3.2B,$1.5B,$2.6B,$3.7B,$2.1B,$0.8B,$4.3B,$1.8B,$3.4B,$1.3B,$0.2B,$0.5B,$2.2B,$1.5B,$1.0B,$0.5B,$0.1B,$0.3B,$0.3B,$0.4B,$0.1B
